time,x,y,z
0.0000,0.12999,0.08768,10.47089
0.0200,0.30001,0.04057,9.48761
0.0400,0.47108,0.04327,8.77740
0.0600,0.62093,0.12733,8.54656
0.0800,0.79092,0.11601,7.80239
0.1000,0.93508,0.18203,7.57108
0.1200,1.10552,0.18205,6.93824
0.1600,1.46372,0.10260,5.21565
0.1800,1.55695,0.22111,5.42432
0.2000,1.72757,0.19161,4.69473
0.2200,1.90029,0.17290,4.01356
0.2400,2.06114,0.15996,3.43767
0.2600,2.21256,0.15636,2.93519
0.3000,2.64709,-0.01146,0.78743
0.3200,2.76500,0.01445,0.59204
0.3400,2.96115,-0.04894,-0.24401
0.3600,3.07098,-0.01750,-0.37730
0.3800,3.16164,0.01153,-0.44499
