file	seconds	seam_max_cm	seam_bone	foot_peak_cm	foot_t_s	foot_norm	knee_peak_cm	knee_t_s	knee_norm
KeeperBodyBlock_A.fbx	2.633	2.0	LeftFoot	46.8	1.150	0.437	43.9	1.317	0.500
KeeperBodyBlock_B.fbx	2.450	0.0	RightLowerLeg	76.9	1.067	0.435	41.9	1.100	0.449
KeeperBodyBlock_C.fbx	3.417	12.5	RightFoot	68.8	1.433	0.420	42.8	1.417	0.415
KeeperCatch_A.fbx	2.083	11.5	Head	-70.0	1.567	0.752	-27.8	1.350	0.648
KeeperCatch_B.fbx	1.250	11.6	Head	-76.6	0.683	0.547	-38.0	1.000	0.800
KeeperCatch_D.fbx	2.733	11.6	Head	-61.3	1.400	0.512	-24.8	1.400	0.512
KeeperCelebrate.fbx	6.183	0.0	LeftLowerLeg	-74.1	2.900	0.469	-39.8	3.667	0.593
KeeperDivingSave_A.fbx	3.400	11.6	Head	63.5	1.317	0.387	32.6	1.883	0.554
KeeperDivingSave_B.fbx	3.233	11.6	Head	47.5	1.250	0.387	29.1	1.983	0.613
KeeperIdle_A.fbx	4.617	0.0	Head	-80.7	1.517	0.329	-40.2	1.500	0.325
KeeperIdle_B.fbx	3.333	0.0	LeftFoot	-80.2	0.400	0.120	-42.3	0.400	0.120
KeeperMiss.fbx	2.933	69.7	Head	-48.4	1.100	0.375	-9.6	1.100	0.375
KeeperSidestep_A.fbx	0.517	0.0	RightFoot	-65.2	0.117	0.226	-25.3	0.167	0.323
KeeperSidestep_B.fbx	0.500	0.0	LeftLowerLeg	-66.0	0.333	0.667	-30.1	0.367	0.733
Celebrate.fbx	8.533	0.0	LeftLowerLeg	-89.4	4.583	0.537	-46.0	2.183	0.256
Dejected.fbx	4.800	0.0	LeftLowerLeg	-88.2	2.417	0.503	-44.6	1.167	0.243
JogForward.fbx	0.817	0.0	RightFoot	-53.0	0.317	0.388	-42.0	0.467	0.571
KickSoccerball_A.fbx	0.567	0.0	RightFoot	-47.0	0.317	0.559	-21.8	0.333	0.588
KickSoccerball_B.fbx	0.500	0.0	RightFoot	-62.6	0.267	0.533	-21.2	0.250	0.500
OffensiveIdle.fbx	10.550	0.0	LeftLowerLeg	-69.2	5.633	0.534	-26.7	6.500	0.616
PenaltyKick.fbx	1.500	65.4	RightFoot	-51.7	0.867	0.578	-17.4	0.883	0.589
StrikeForwardJog.fbx	1.300	0.7	LeftFoot	10.5	0.600	0.462	15.0	0.667	0.513
Header_A.fbx	1.883	0.0	LeftLowerLeg	-80.9	0.467	0.248	-41.5	0.517	0.274
Header_B.fbx	4.183	0.0	RightLowerLeg	-74.3	0.383	0.092	-32.1	0.367	0.088
JuggleKickUp.fbx	1.317	20.5	RightFoot	-68.7	0.650	0.494	-24.3	0.650	0.494
JuggleKnee_A.fbx	0.883	0.0	LeftFoot	-40.5	0.533	0.604	-5.4	0.533	0.604
JuggleKnee_B.fbx	0.633	0.0	Head	-39.2	0.283	0.447	4.8	0.283	0.447
KeeperDirecting.fbx	7.167	0.0	RightFoot	-63.3	1.000	0.140	-23.2	1.933	0.270
KeeperPlacingBall.fbx	3.533	11.6	Head	-49.3	1.083	0.307	-22.0	1.067	0.302
ReceiveBall.fbx	5.117	27.3	RightFoot	-57.3	2.983	0.583	-14.9	1.017	0.199
ScissorKick.fbx	2.750	65.6	LeftFoot	88.3	0.950	0.345	46.2	0.933	0.339
Stall_A.fbx	3.250	0.0	Head	-30.6	2.667	0.821	9.0	2.667	0.821
Stall_B.fbx	2.117	0.0	Head	-7.9	1.583	0.748	11.6	1.617	0.764
Stall_C.fbx	2.300	0.0	LeftLowerLeg	-14.5	1.783	0.775	24.7	1.783	0.775
Stall_D.fbx	1.817	1.5	RightLowerLeg	-17.1	1.267	0.697	20.7	1.267	0.697
